id,PartyName,VoteCount
5010,Green,3
5035,Green,3
5055,Green,5
5010,Green,1
5035,Green,2
5055,Green,5
5010,Green,3
5035,Green,5
5055,Green,7
5010,Green,6
5035,Green,8
5055,Green,7
5010,Green,8
5035,Green,30
5055,Green,24
5010,Green,7
5035,Green,4
5055,Green,9
5010,Green,6
5035,Green,16
5055,Green,13
5010,Green,3
5035,Green,6
5055,Green,6
5010,Green,9
5035,Green,24
5055,Green,19
5010,Green,15
5035,Green,20
5055,Green,18
5010,Green,11
5035,Green,4
5055,Green,7
5010,Green,13
5035,Green,16
5055,Green,24
5010,Green,18
5035,Green,9
5055,Green,13
5010,Green,12
5035,Green,16
5055,Green,24
5010,Green,4
5035,Green,6
5055,Green,7
5010,Green,14
5035,Green,23
5055,Green,23
5010,Green,15
5035,Green,17
5055,Green,19
5010,Green,18
5035,Green,31
5055,Green,29
5015,Libertarian,8
5040,Libertarian,13
5065,Libertarian,15
5015,Libertarian,48
5040,Libertarian,27
5065,Libertarian,37
5015,Libertarian,9
5040,Libertarian,12
5065,Libertarian,5
5015,Libertarian,9
5040,Libertarian,8
5065,Libertarian,9
5015,Libertarian,65
5040,Libertarian,33
5065,Libertarian,30
5015,Libertarian,57
5040,Libertarian,37
5065,Libertarian,33
5015,Libertarian,89
5040,Libertarian,60
5065,Libertarian,55
5015,Libertarian,72
5040,Libertarian,25
5065,Libertarian,37
5015,Libertarian,61
5040,Libertarian,31
5065,Libertarian,34
5015,Libertarian,9
5040,Libertarian,11
5065,Libertarian,13
5015,Libertarian,33
5040,Libertarian,25
5065,Libertarian,38
5015,Libertarian,89
5040,Libertarian,55
5065,Libertarian,64
5015,Libertarian,96
5040,Libertarian,31
5065,Libertarian,42
5015,Libertarian,112
5040,Libertarian,65
5065,Libertarian,82
5015,Libertarian,59
5040,Libertarian,43
5065,Libertarian,48
5015,Libertarian,76
5040,Libertarian,45
5065,Libertarian,62
5015,Libertarian,93
5040,Libertarian,50
5065,Libertarian,66
5015,Libertarian,17
5040,Libertarian,20
5065,Libertarian,16
5015,Libertarian,13
5040,Libertarian,18
5065,Libertarian,23
5015,Libertarian,38
5040,Libertarian,39
5065,Libertarian,42
5015,Libertarian,31
5040,Libertarian,30
5065,Libertarian,35
5015,Libertarian,52
5040,Libertarian,21
5065,Libertarian,37
5015,Libertarian,23
5040,Libertarian,19
5065,Libertarian,17
5015,Libertarian,41
5040,Libertarian,33
5065,Libertarian,31
5015,Libertarian,31
5040,Libertarian,16
5065,Libertarian,26
5015,Libertarian,69
5040,Libertarian,47
5065,Libertarian,60
5015,Libertarian,43
5040,Libertarian,24
5065,Libertarian,34
5015,Libertarian,27
5040,Libertarian,17
5065,Libertarian,28
5015,Libertarian,42
5040,Libertarian,14
5065,Libertarian,30
5015,Libertarian,30
5040,Libertarian,5
5065,Libertarian,16
5015,Libertarian,12
5040,Libertarian,6
5065,Libertarian,11
5015,Libertarian,16
5040,Libertarian,9
5065,Libertarian,7
5015,Libertarian,68
5040,Libertarian,32
5065,Libertarian,32
5015,Libertarian,32
5040,Libertarian,23
5065,Libertarian,22
5015,Libertarian,64
5040,Libertarian,31
5065,Libertarian,47
5015,Libertarian,22
5040,Libertarian,11
5065,Libertarian,19
5015,Libertarian,16
5040,Libertarian,14
5065,Libertarian,10
5015,Libertarian,18
5040,Libertarian,15
5065,Libertarian,18
5015,Libertarian,31
5040,Libertarian,21
5065,Libertarian,30
5015,Libertarian,45
5040,Libertarian,19
5065,Libertarian,35
5015,Libertarian,38
5040,Libertarian,31
5065,Libertarian,37
5015,Libertarian,53
5040,Libertarian,37
5065,Libertarian,36
5015,Libertarian,102
5040,Libertarian,69
5065,Libertarian,74
5015,Libertarian,48
5040,Libertarian,28
5065,Libertarian,39
5015,Libertarian,53
5040,Libertarian,25
5065,Libertarian,35
5015,Libertarian,70
5040,Libertarian,48
5065,Libertarian,54
5015,Libertarian,50
5040,Libertarian,20
5065,Libertarian,33
5015,Libertarian,47
5040,Libertarian,20
5065,Libertarian,26
5015,Libertarian,10
5040,Libertarian,5
5065,Libertarian,4
5015,Libertarian,22
5040,Libertarian,15
5065,Libertarian,12
5015,Libertarian,10
